cell_id,DateTime,KWH/hh (per half hour) ,site_id,region
MAC000069,"22:30:00 13,12,05",0.063,G,C
MAC000069,"23:00:00 13,12,05",0.106,G,C
MAC000069,"23:30:00 13,12,05",0.029,G,C
MAC000069,"00:00:00 13,13,05",0.108,G,C
MAC000069,"00:30:00 13,13,05",0.033,G,C
MAC000069,"01:00:00 13,13,05",0.091,G,C
MAC000069,"01:30:00 13,13,05",0.054,G,C
MAC000069,"02:00:00 13,13,05",0.065,G,C
MAC000069,"02:30:00 13,13,05",0.079,G,C
MAC000069,"03:00:00 13,13,05",0.046,G,C
MAC000069,"03:30:00 13,13,05",0.094,G,C
MAC000069,"04:00:00 13,13,05",0.048,G,C
MAC000069,"04:30:00 13,13,05",0.107,G,C
MAC000069,"05:00:00 13,13,05",0.055,G,C
MAC000069,"05:30:00 13,13,05",0.134,G,C
MAC000069,"06:00:00 13,13,05",0.084,G,C
MAC000069,"06:30:00 13,13,05",0.112,G,C
MAC000069,"07:00:00 13,13,05",0.102,G,C
MAC000069,"07:30:00 13,13,05",0.068,G,C
MAC000069,"08:00:00 13,13,05",0.084,G,C
MAC000069,"08:30:00 13,13,05",0.081,G,C
MAC000069,"09:00:00 13,13,05",0.11,G,C
MAC000069,"09:30:00 13,13,05",0.039,G,C
MAC000069,"10:00:00 13,13,05",0.101,G,C
MAC000069,"10:30:00 13,13,05",0.022,G,C
MAC000069,"11:00:00 13,13,05",0.11,G,C
MAC000069,"11:30:00 13,13,05",0.035,G,C
MAC000069,"12:00:00 13,13,05",0.099,G,C
MAC000069,"12:30:00 13,13,05",0.049,G,C
MAC000069,"13:00:00 13,13,05",0.087,G,C
MAC000069,"13:30:00 13,13,05",0.061,G,C
MAC000069,"14:00:00 13,13,05",0.071,G,C
MAC000069,"14:30:00 13,13,05",0.078,G,C
MAC000069,"15:00:00 13,13,05",0.06,G,C
MAC000069,"15:30:00 13,13,05",0.094,G,C
MAC000069,"16:00:00 13,13,05",0.082,G,C
MAC000069,"16:30:00 13,13,05",0.288,G,C
MAC000069,"17:00:00 13,13,05",0.099,G,C
MAC000069,"17:30:00 13,13,05",0.163,G,C
MAC000069,"18:00:00 13,13,05",0.086,G,C
MAC000069,"18:30:00 13,13,05",0.174,G,C
MAC000069,"19:00:00 13,13,05",0.084,G,C
MAC000069,"19:30:00 13,13,05",0.134,G,C
MAC000069,"20:00:00 13,13,05",0.092,G,C
MAC000069,"20:30:00 13,13,05",0.136,G,C
MAC000069,"21:00:00 13,13,05",0.08,G,C
MAC000069,"21:30:00 13,13,05",0.079,G,C
MAC000069,"22:00:00 13,13,05",0.097,G,C
MAC000069,"22:30:00 13,13,05",0.057,G,C
MAC000069,"23:00:00 13,13,05",0.114,G,C
MAC000069,"23:30:00 13,13,05",0.037,G,C
MAC000069,"00:00:00 13,14,05",0.118,G,C
MAC000069,"00:30:00 13,14,05",0.052,G,C
MAC000069,"01:00:00 13,14,05",0.1,G,C
MAC000069,"01:30:00 13,14,05",0.071,G,C
MAC000069,"02:00:00 13,14,05",0.073,G,C
MAC000069,"02:30:00 13,14,05",0.074,G,C
MAC000069,"03:00:00 13,14,05",0.046,G,C
MAC000069,"03:30:00 13,14,05",0.098,G,C
MAC000069,"04:00:00 13,14,05",0.025,G,C
MAC000069,"04:30:00 13,14,05",0.104,G,C
MAC000069,"05:00:00 13,14,05",0.035,G,C
MAC000069,"05:30:00 13,14,05",0.124,G,C
MAC000069,"06:00:00 13,14,05",0.071,G,C
MAC000069,"06:30:00 13,14,05",0.097,G,C
MAC000069,"07:00:00 13,14,05",0.093,G,C
MAC000069,"07:30:00 13,14,05",0.08,G,C
MAC000069,"08:00:00 13,14,05",0.09,G,C
MAC000069,"08:30:00 13,14,05",0.036,G,C
MAC000069,"09:00:00 13,14,05",0.098,G,C
MAC000069,"09:30:00 13,14,05",0.093,G,C
MAC000069,"10:00:00 13,14,05",0.135,G,C
MAC000069,"10:30:00 13,14,05",0.058,G,C
MAC000069,"11:00:00 13,14,05",0.188,G,C
MAC000069,"11:30:00 13,14,05",0.077,G,C
MAC000069,"12:00:00 13,14,05",0.097,G,C
MAC000069,"12:30:00 13,14,05",0.099,G,C
MAC000069,"13:00:00 13,14,05",0.084,G,C
MAC000069,"13:30:00 13,14,05",0.111,G,C
MAC000069,"14:00:00 13,14,05",0.578,G,C
MAC000069,"14:30:00 13,14,05",0.504,G,C
MAC000069,"15:00:00 13,14,05",0.484,G,C
MAC000069,"15:30:00 13,14,05",0.133,G,C
MAC000069,"16:00:00 13,14,05",0.062,G,C
MAC000069,"16:30:00 13,14,05",0.133,G,C
MAC000069,"17:00:00 13,14,05",0.122,G,C
MAC000069,"17:30:00 13,14,05",0.165,G,C
MAC000069,"18:00:00 13,14,05",0.123,G,C
MAC000069,"18:30:00 13,14,05",0.078,G,C
MAC000069,"19:00:00 13,14,05",0.112,G,C
MAC000069,"19:30:00 13,14,05",0.061,G,C
MAC000069,"20:00:00 13,14,05",0.129,G,C
MAC000069,"20:30:00 13,14,05",0.043,G,C
MAC000069,"21:00:00 13,14,05",0.128,G,C
MAC000069,"21:30:00 13,14,05",0.041,G,C
MAC000069,"22:00:00 13,14,05",0.104,G,C
MAC000069,"22:30:00 13,14,05",0.061,G,C
MAC000069,"23:00:00 13,14,05",0.08,G,C
MAC000069,"23:30:00 13,14,05",0.081,G,C
MAC000069,"00:00:00 13,15,05",0.065,G,C
MAC000069,"00:30:00 13,15,05",0.081,G,C
MAC000069,"01:00:00 13,15,05",0.043,G,C
MAC000069,"01:30:00 13,15,05",0.075,G,C
MAC000069,"02:00:00 13,15,05",0.045,G,C
MAC000069,"02:30:00 13,15,05",0.085,G,C
MAC000069,"03:00:00 13,15,05",0.035,G,C
MAC000069,"03:30:00 13,15,05",0.088,G,C
MAC000069,"04:00:00 13,15,05",0.02,G,C
MAC000069,"04:30:00 13,15,05",0.099,G,C
MAC000069,"05:00:00 13,15,05",0.033,G,C
MAC000069,"05:30:00 13,15,05",0.138,G,C
MAC000069,"06:00:00 13,15,05",0.072,G,C
